10,2,20.675644
10,2,20.516357
10,2,19.571594
10,2,21.428352
10,2,22.657003
10,4,10.792612
10,4,11.975653
10,4,17.210182
10,4,24.719860
10,4,18.479359
10,6,7.231937
10,6,7.200760
10,6,9.395224
10,6,9.056679
10,6,7.799829
20,2,42.425491
20,2,41.614983
20,2,42.079803
20,2,41.248360
20,2,44.643265
20,4,43.385811
20,4,42.580357
20,4,43.955048
20,4,42.368996
20,4,41.193455
20,6,28.914595
20,6,38.953262
20,6,35.379913
20,6,36.277740
20,6,21.273767
30,2,62.615780
30,2,62.785515
30,2,65.036125
30,2,65.010170
30,2,62.744118
30,4,60.902779
30,4,63.177193
30,4,58.728653
30,4,62.868553
30,4,63.790184
30,6,64.128250
30,6,60.135605
30,6,44.286705
30,6,60.838356
30,6,64.508965
40,2,88.026138
40,2,84.973770
40,2,90.590385
40,2,83.198654
40,2,87.290039
40,4,82.954224
40,4,82.233688
40,4,86.742050
40,4,83.786552
40,4,83.467880
40,6,81.660278
40,6,84.912094
40,6,84.196609
40,6,81.400887
40,6,82.050522
