10,2,20.675644
10,2,20.244284
10,2,19.495144
10,2,21.428352
10,2,22.657003
10,4,10.190630
10,4,10.054760
10,4,8.029673
10,4,12.769825
10,4,8.364212
10,6,6.027969
10,6,7.378503
10,6,6.457268
10,6,5.772976
10,6,5.845980
20,2,40.966076
20,2,40.677479
20,2,42.243607
20,2,42.160057
20,2,44.643265
20,4,36.798630
20,4,39.171391
20,4,29.617569
20,4,27.175261
20,4,39.381577
20,6,13.373841
20,6,16.760166
20,6,13.586709
20,6,17.638250
20,6,16.223156
30,2,61.243141
30,2,62.448151
30,2,65.036125
30,2,62.454826
30,2,62.744118
30,4,60.246502
30,4,60.573490
30,4,59.919250
30,4,61.488316
30,4,61.429169
30,6,38.616928
30,6,30.438175
30,6,33.956638
30,6,30.010733
30,6,32.934315
40,2,88.026138
40,2,85.516418
40,2,90.590385
40,2,82.447861
40,2,87.290039
40,4,82.763138
40,4,90.372948
40,4,82.362724
40,4,85.778259
40,4,83.467880
40,6,79.467346
40,6,53.188759
40,6,57.341141
40,6,49.169285
40,6,77.663048
40,4,79.703964
40,4,85.835266
40,4,84.296074
40,4,83.569595
40,4,82.453224
40,4,84.638870
40,4,84.708977
40,4,83.349190
40,4,80.940933
40,4,81.271088
40,4,80.253769
