0,49.768166
0,55.677849
1,55.677849
2,56.459785
3,47.472481
3,47.472481
4,47.472481
5,42.863308
5,50.941738
6,51.997009
7,51.997009
8,53.632652
9,42.863308
10,52.963634
11,51.603943
12,50.689972
13,42.863308
14,50.244370
15,50.244370
16,43.317402
17,43.590294
18,44.689445
19,51.583126
20,51.583126
21,42.863308
22,42.863308
23,43.618645
24,40.597542
24,42.428802
25,42.733238
26,40.597542
27,40.597542
28,40.597542
29,46.561436
30,62.153580
31,40.597542
32,40.597542
33,57.498276
34,49.797203
35,40.597542
36,57.498276
37,40.597542
38,40.597542
39,40.597542
40,40.597542
41,40.597542
42,40.597542
43,40.597542
44,40.597542
45,40.597542
46,40.597542
